----------------------------------------------------
 Time                  Az      El  Range Footp  Alt 
----------------------------------------------------
 2024/07/21 19:17:30 172.15   0.00  3319  6125   813
 2024/07/21 19:17:35 172.24   0.30  3286  6125   813
 2024/07/21 19:17:40 172.34   0.61  3253  6126   813
 2024/07/21 19:17:45 172.43   0.91  3220  6126   813
 2024/07/21 19:17:50 172.53   1.22  3187  6126   813
 2024/07/21 19:17:55 172.63   1.54  3154  6126   813
 2024/07/21 19:18:00 172.73   1.85  3121  6126   814
 2024/07/21 19:18:05 172.84   2.17  3088  6126   814
 2024/07/21 19:18:10 172.94   2.49  3055  6127   814
 2024/07/21 19:18:15 173.05   2.82  3022  6127   814
 2024/07/21 19:18:20 173.16   3.15  2989  6127   814
 2024/07/21 19:18:25 173.27   3.49  2956  6127   814
 2024/07/21 19:18:30 173.39   3.83  2923  6127   814
 2024/07/21 19:18:35 173.51   4.17  2890  6127   814
 2024/07/21 19:18:40 173.63   4.52  2858  6128   814
 2024/07/21 19:18:45 173.75   4.87  2825  6128   814
 2024/07/21 19:18:50 173.87   5.23  2792  6128   814
 2024/07/21 19:18:55 174.00   5.59  2759  6128   814
 2024/07/21 19:19:00 174.13   5.95  2726  6128   814
 2024/07/21 19:19:05 174.26   6.33  2694  6129   814
 2024/07/21 19:19:10 174.40   6.70  2661  6129   814
 2024/07/21 19:19:15 174.54   7.09  2628  6129   814
 2024/07/21 19:19:20 174.69   7.48  2596  6129   814
 2024/07/21 19:19:25 174.83   7.87  2563  6129   814
 2024/07/21 19:19:30 174.98   8.27  2531  6130   815
 2024/07/21 19:19:35 175.14   8.68  2498  6130   815
 2024/07/21 19:19:40 175.30   9.09  2466  6130   815
 2024/07/21 19:19:45 175.46   9.51  2433  6130   815
 2024/07/21 19:19:50 175.63   9.94  2401  6130   815
 2024/07/21 19:19:55 175.80  10.38  2369  6131   815
 2024/07/21 19:20:00 175.98  10.82  2337  6131   815
 2024/07/21 19:20:05 176.16  11.27  2304  6131   815
 2024/07/21 19:20:10 176.35  11.73  2272  6131   815
 2024/07/21 19:20:15 176.54  12.20  2240  6131   815
 2024/07/21 19:20:20 176.74  12.68  2208  6132   815
 2024/07/21 19:20:25 176.94  13.16  2177  6132   815
 2024/07/21 19:20:30 177.16  13.66  2145  6132   815
 2024/07/21 19:20:35 177.37  14.17  2113  6132   815
 2024/07/21 19:20:40 177.60  14.68  2082  6132   815
 2024/07/21 19:20:45 177.83  15.21  2050  6133   815
 2024/07/21 19:20:50 178.07  15.75  2019  6133   815
 2024/07/21 19:20:55 178.32  16.30  1987  6133   816
 2024/07/21 19:21:00 178.58  16.87  1956  6133   816
 2024/07/21 19:21:05 178.85  17.44  1925  6134   816
 2024/07/21 19:21:10 179.13  18.03  1894  6134   816
 2024/07/21 19:21:15 179.41  18.64  1864  6134   816
 2024/07/21 19:21:20 179.71  19.26  1833  6134   816
 2024/07/21 19:21:25 180.03  19.89  1803  6134   816
 2024/07/21 19:21:30 180.35  20.54  1772  6135   816
 2024/07/21 19:21:35 180.69  21.21  1742  6135   816
 2024/07/21 19:21:40 181.04  21.89  1712  6135   816
 2024/07/21 19:21:45 181.41  22.59  1682  6135   816
 2024/07/21 19:21:50 181.79  23.31  1653  6135   816
 2024/07/21 19:21:55 182.19  24.05  1624  6136   816
 2024/07/21 19:22:00 182.61  24.81  1595  6136   816
 2024/07/21 19:22:05 183.05  25.60  1566  6136   816
 2024/07/21 19:22:10 183.52  26.40  1537  6136   816
 2024/07/21 19:22:15 184.00  27.23  1509  6136   817
 2024/07/21 19:22:20 184.51  28.08  1481  6137   817
 2024/07/21 19:22:25 185.05  28.95  1453  6137   817
 2024/07/21 19:22:30 185.62  29.86  1426  6137   817
 2024/07/21 19:22:35 186.22  30.78  1398  6137   817
 2024/07/21 19:22:40 186.86  31.74  1372  6138   817
 2024/07/21 19:22:45 187.53  32.72  1345  6138   817
 2024/07/21 19:22:50 188.24  33.73  1320  6138   817
 2024/07/21 19:22:55 189.01  34.77  1294  6138   817
 2024/07/21 19:23:00 189.82  35.84  1269  6138   817
 2024/07/21 19:23:05 190.68  36.95  1245  6139   817
 2024/07/21 19:23:10 191.61  38.08  1221  6139   817
 2024/07/21 19:23:15 192.60  39.24  1197  6139   817
 2024/07/21 19:23:20 193.66  40.43  1174  6139   817
 2024/07/21 19:23:25 194.81  41.66  1152  6139   817
 2024/07/21 19:23:30 196.04  42.91  1130  6140   817
 2024/07/21 19:23:35 197.38  44.19  1110  6140   818
 2024/07/21 19:23:40 198.82  45.49  1089  6140   818
 2024/07/21 19:23:45 200.39  46.82  1070  6140   818
 2024/07/21 19:23:50 202.10  48.16  1052  6140   818
 2024/07/21 19:23:55 203.96  49.52  1034  6141   818
 2024/07/21 19:24:00 205.99  50.88  1017  6141   818
 2024/07/21 19:24:05 208.22  52.24  1001  6141   818
 2024/07/21 19:24:10 210.65  53.59   987  6141   818
 2024/07/21 19:24:15 213.33  54.93   973  6141   818
 2024/07/21 19:24:20 216.25  56.22   960  6142   818
 2024/07/21 19:24:25 219.46  57.47   949  6142   818
 2024/07/21 19:24:30 222.97  58.66   939  6142   818
 2024/07/21 19:24:35 226.78  59.75   930  6142   818
 2024/07/21 19:24:40 230.92  60.75   922  6142   818
 2024/07/21 19:24:45 235.37  61.61   915  6143   818
 2024/07/21 19:24:50 240.12  62.33   910  6143   818
 2024/07/21 19:24:55 245.12  62.88   906  6143   818
 2024/07/21 19:25:00 250.31  63.24   904  6143   818
 2024/07/21 19:25:05 255.61  63.41   903  6143   819
 2024/07/21 19:25:10 260.95  63.37   903  6143   819
 2024/07/21 19:25:15 266.22  63.14   905  6144   819
 2024/07/21 19:25:20 271.35  62.71   908  6144   819
 2024/07/21 19:25:25 276.26  62.10   912  6144   819
 2024/07/21 19:25:30 280.91  61.33   918  6144   819
 2024/07/21 19:25:35 285.25  60.43   925  6144   819
 2024/07/21 19:25:40 289.27  59.40   933  6145   819
 2024/07/21 19:25:45 292.98  58.27   943  6145   819
 2024/07/21 19:25:50 296.38  57.07   954  6145   819
 2024/07/21 19:25:55 299.48  55.80   966  6145   819
 2024/07/21 19:26:00 302.32  54.50   979  6145   819
 2024/07/21 19:26:05 304.90  53.16   993  6145   819
 2024/07/21 19:26:10 307.26  51.81  1008  6146   819
 2024/07/21 19:26:15 309.41  50.45  1024  6146   819
 2024/07/21 19:26:20 311.39  49.09  1041  6146   819
 2024/07/21 19:26:25 313.19  47.75  1059  6146   819
 2024/07/21 19:26:30 314.85  46.41  1078  6146   819
 2024/07/21 19:26:35 316.37  45.10  1098  6146   819
 2024/07/21 19:26:40 317.78  43.81  1118  6147   820
 2024/07/21 19:26:45 319.08  42.55  1139  6147   820
 2024/07/21 19:26:50 320.28  41.31  1161  6147   820
 2024/07/21 19:26:55 321.40  40.10  1184  6147   820
 2024/07/21 19:27:00 322.44  38.92  1207  6147   820
 2024/07/21 19:27:05 323.41  37.78  1231  6147   820
 2024/07/21 19:27:10 324.31  36.66  1255  6147   820
 2024/07/21 19:27:15 325.16  35.57  1279  6148   820
 2024/07/21 19:27:20 325.95  34.52  1305  6148   820
 2024/07/21 19:27:25 326.70  33.49  1330  6148   820
 2024/07/21 19:27:30 327.40  32.49  1356  6148   820
 2024/07/21 19:27:35 328.06  31.52  1383  6148   820
 2024/07/21 19:27:40 328.69  30.58  1410  6148   820
 2024/07/21 19:27:45 329.28  29.66  1437  6148   820
 2024/07/21 19:27:50 329.84  28.78  1464  6149   820
 2024/07/21 19:27:55 330.37  27.91  1492  6149   820
 2024/07/21 19:28:00 330.88  27.07  1520  6149   820
 2024/07/21 19:28:05 331.36  26.26  1549  6149   820
 2024/07/21 19:28:10 331.81  25.46  1577  6149   820
 2024/07/21 19:28:15 332.25  24.69  1606  6149   820
